Time_Min,Relative_Delta,Relative_Theta,Relative_Alpha,Relative_Beta,Relative_Gamma,Relative_Sigma,Time_Min_A,Relative Delta (%),Relative Theta (%),Relative Alpha (%),Relative Beta (%),Relative Gamma (%),Relative Sigma (%),Time
0,64.50099,18.09533,7.105038,6.188229,1.669423,2.440992,1,64.50099229,18.09532535,7.105037851,6.188229274,1.669423013,2.440992224,0
0,86.48211,7.013363,3.235387,1.614085,0.992948,0.662104,1,86.48211367,7.013362638,3.235387442,1.614084606,0.99294752,0.6621041278,0
0,80.78918,7.733093,4.220396,3.238569,3.143064,0.875696,1,80.78918225,7.733092627,4.220396092,3.238569431,3.143063912,0.87569569,0
0,81.86217,7.414523,5.54732,3.412583,0.628179,1.135228,1,81.86216635,7.414523284,5.547320182,3.412583082,0.6281787389,1.135228363,0
0,58.15479,8.328858,5.183051,12.37615,13.23078,2.726374,1,58.15478802,8.328858368,5.183050938,12.37614751,13.23078088,2.726374286,0
0,84.76467,8.302614,2.388993,2.005464,1.833221,0.705042,1,84.76466611,8.302614157,2.388992881,2.005463932,1.833221136,0.7050417834,0
0,65.56293,9.476726,4.184642,4.893937,14.54314,1.338623,1,65.5629269,9.476726203,4.184642229,4.893936538,14.54314497,1.338623156,0
0,13.08891,11.82778,8.450908,15.13225,48.07324,3.426915,1,13.08890715,11.82778406,8.450908257,15.1322458,48.0732393,3.42691543,0
0,13.17645,11.13777,8.410045,14.8867,48.84255,3.546487,1,13.17644762,11.13777243,8.410045393,14.88669669,48.84255114,3.546486736,0
0,53.6875,15.37705,6.065591,7.636127,15.09639,2.137338,1,53.68749709,15.37705464,6.065591488,7.636127262,15.09639176,2.137337756,0
0,74.14755,16.07299,4.093519,2.858227,1.718291,1.109422,1,74.14754643,16.07299407,4.093518756,2.858227442,1.718291274,1.109422028,0
0,70.03901,19.15755,4.790049,3.20878,1.407149,1.397462,1,70.03900864,19.15755099,4.790049377,3.208780356,1.407148689,1.397461945,0
0,70.93928,15.34217,4.09154,4.4044,3.889437,1.333174,1,70.93927956,15.3421694,4.091539739,4.404400199,3.889437289,1.333173811,0
0,70.4695,13.67733,3.999458,4.666606,5.874909,1.312203,1,70.46949725,13.6773252,3.999458301,4.666606409,5.874909395,1.312203444,0
0,63.55437,14.26085,5.036692,5.890408,9.708349,1.549335,1,63.55436607,14.26084932,5.036691967,5.890408188,9.708349246,1.549335212,0
0,50.23536,15.52421,6.982476,7.227856,17.62015,2.409958,1,50.23535558,15.52420899,6.982476467,7.227855819,17.62014511,2.409958038,0
0,62.98244,10.62232,4.615507,5.904994,14.26328,1.61146,1,62.98243577,10.62232176,4.615507409,5.904993888,14.26328146,1.611459713,0
0,74.90541,7.525116,3.202677,6.599533,6.800067,0.967193,1,74.90541315,7.525116083,3.202677463,6.599532984,6.800067188,0.9671931316,0
,,,,,,,1,64.9332,14.0805,5.1751,6.7674,6.6448,2.3991,1
,,,,,,,1,74.7251,12.1614,3.1752,3.9605,4.4113,1.5665,1
,,,,,,,1,77.3467,13.7598,3.5541,2.3608,1.719,1.2597,1
,,,,,,,1,82.7921,11.7443,1.7856,1.6947,1.1888,0.7946,1
,,,,,,,,81.9106,9.3106,2.2886,2.7887,2.4635,1.238,1
,,,,,,,,74.5545,8.1823,5.1257,5.7403,4.3474,2.0498,1
,,,,,,,,74.5149,11.4046,3.5464,3.6628,5.3521,1.5192,1
,,,,,,,,80.5282,12.292,3.4165,1.8139,0.8273,1.1221,1
,,,,,,,,81.2402,10.8271,2.8763,2.1234,1.7225,1.2106,1
,,,,,,,,79.1659,12.5174,3.3529,2.4061,1.0348,1.5228,1
,,,,,,,,81.2917,11.3097,3.1756,1.5563,0.6569,2.0098,1
,,,,,,,,75.0371,11.4649,2.6926,5.0815,3.0892,2.6346,1
,,,,,,,,64.3554,17.2412,4.9426,6.7254,4.284,2.4515,1
,,,,,,,,16.7886,12.6547,6.7579,33.1333,25.6598,5.0057,1
,,,,,,,,29.2769,12.2261,6.8771,26.2881,20.8865,4.4453,1
,,,,,,,,29.6445,12.1578,5.4991,29.8379,19.2454,3.6154,1
,,,,,,,,84.5645,8.4759,2.6678,1.6896,1.4834,1.1188,1
,,,,,,,,78.6919,12.5204,4.398,1.9639,0.68,1.7458,1
,,,,,,,,84.0181,10.9482,2.8509,0.9553,0.2877,0.9398,1
,,,,,,,,72.7902,19.9421,4.5324,0.9973,0.2017,1.5364,1
,,,,,,,,71.9059,21.5555,4.0456,0.965,0.1937,1.3342,1
,,,,,,,,66.0504,27.0698,3.8886,1.1664,0.174,1.6509,1
